location,Basilea,Basilea,Basilea
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Basilea Temperature [2 m elevation corrected],Basilea Temperature [2 m elevation corrected],Basilea Temperature [2 m elevation corrected]
20230311T0000,6.500245,1.6502454,4.1435785
20230312T0000,13.250245,3.9402456,8.571912
20230313T0000,21.620245,9.570246,14.953576
20230314T0000,11.170245,5.130245,8.928995
20230315T0000,9.350245,0.5302454,4.9698286
20230316T0000,13.420245,-0.60975456,5.693995
20230317T0000,17.380245,1.7002454,9.973163
20230318T0000,17.730246,3.9302454,11.531495
20230319T0000,13.740245,7.3702455,10.675246
20230320T0000,13.740245,4.4502454,9.260662
20230321T0000,16.130245,2.6702452,9.6731615
20230322T0000,19.290245,5.380245,12.498162
20230323T0000,16.550245,11.620245,14.1714945
20230324T0000,14.640245,9.680245,12.376494
20230325T0000,12.590245,7.2402453,9.788163
20230326T0000,12.600245,6.3402452,8.788161
20230327T0000,7.3002453,2.0602455,5.6006618
20230328T0000,11.040245,-1.8497547,5.9881625
20230329T0000,19.710245,8.000245,13.428578
20230330T0000,16.670246,12.290245,14.045663
20230331T0000,14.550245,8.800245,11.880245
20230401T0000,11.330245,7.8202453,9.194828
20230402T0000,12.020246,7.0802455,9.174413
20230403T0000,8.210245,2.3802454,5.915663
20230404T0000,9.760245,-1.2797546,4.1148286
20230405T0000,10.770246,-0.9197546,4.627329
20230406T0000,12.820246,-2.0797548,6.947329
20230407T0000,9.370245,5.5702453,7.1677456
20230408T0000,12.030245,5.3202453,8.644412
20230409T0000,15.340245,2.8502455,8.983162
20230410T0000,17.500246,2.3702455,11.138579
20230411T0000,14.520246,8.780245,11.550244
20230412T0000,13.800245,7.170245,10.210662
20230413T0000,9.670245,4.4702454,7.458162
20230414T0000,14.190246,2.1202455,8.230662
20230415T0000,12.780245,4.4502454,8.987745
20230416T0000,10.170245,7.9902453,8.844412
20230417T0000,13.820246,7.610245,10.146497
20230418T0000,15.760245,7.150245,10.628994
20230419T0000,13.490245,6.4502454,10.180661
20230420T0000,9.280245,4.5002456,6.993995
20230421T0000,13.300245,2.6302452,8.479411
20230422T0000,18.550245,6.5102453,12.73733
20230423T0000,19.450245,9.750245,13.498996
20230424T0000,13.020246,8.920245,10.856912
20230425T0000,11.320246,6.290245,8.608995
20230426T0000,15.040245,3.8002453,9.568995
20230427T0000,19.050245,8.3102455,13.588581
20230428T0000,18.740246,12.000245,15.360663
20230429T0000,19.670246,11.230246,15.375664
20230430T0000,18.190245,9.3102455,14.11441
20230501T0000,16.100246,10.210245,13.340244
20230502T0000,17.060246,8.910245,12.885245
20230503T0000,20.630245,6.110245,13.361076
20230504T0000,24.540245,7.4702454,16.383995
20230505T0000,22.460245,13.860246,17.21233
20230506T0000,22.590246,12.440246,16.982744
20230507T0000,20.320246,11.530245,15.801911
20230508T0000,19.160246,14.160245,16.29858
20230509T0000,20.270245,12.130245,15.58691
20230510T0000,15.470245,11.590245,13.58941
20230511T0000,14.610246,10.620245,12.467746
20230512T0000,16.810246,10.510245,13.477328
20230513T0000,15.730246,11.050245,13.428996
20230514T0000,17.210245,10.050245,13.11483
20230515T0000,17.070246,9.660245,13.157745
20230516T0000,12.430245,9.630245,11.475662
20230517T0000,14.760245,7.520245,11.221496
20230518T0000,16.580246,5.8202453,12.219827
